Year of Birth,Gender,Ethnicity,name
2014,FEMALE,BLACK NON HISPANIC,Peyton
2014,MALE,BLACK NON HISPANIC,Jordan
2016,MALE,WHITE NON HISPANIC,Cameron
2011,MALE,HISPANIC,RYAN
2011,MALE,ASIAN AND PACIFIC ISLANDER,RYAN
2016,MALE,HISPANIC,Angel
2012,MALE,BLACK NON HISP,BLAKE
2013,MALE,HISPANIC,Dylan
2011,MALE,BLACK NON HISPANIC,RYAN
2011,MALE,HISPANIC,ARIEL
2015,MALE,HISPANIC,Angel
2011,FEMALE,WHITE NON HISPANIC,ALEXIS
2012,MALE,BLACK NON HISP,DYLAN
2011,MALE,WHITE NON HISPANIC,RYAN
2014,MALE,HISPANIC,Angel
2013,MALE,HISPANIC,Dylan
2017,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2013,FEMALE,BLACK NON HISPANIC,Ariel
2012,MALE,BLACK NON HISP,BLAKE
2017,MALE,HISPANIC,Jordan
2015,FEMALE,WHITE NON HISPANIC,Avery
2011,MALE,HISPANIC,ANGEL
2011,MALE,HISPANIC,JORDAN
2012,MALE,ASIAN AND PACI,RYAN
2013,MALE,WHITE NON HISPANIC,Dylan
2016,MALE,HISPANIC,Dylan
2013,MALE,HISPANIC,Dylan
2014,MALE,HISPANIC,Milan
2012,MALE,ASIAN AND PACI,RYAN
2012,FEMALE,WHITE NON HISP,JORDAN
2015,MALE,HISPANIC,Dylan
2011,FEMALE,BLACK NON HISPANIC,PEYTON
2013,MALE,WHITE NON HISPANIC,Ryan
2013,MALE,WHITE NON HISPANIC,Jordan
2016,FEMALE,BLACK NON HISPANIC,Avery
2015,MALE,HISPANIC,Dylan
2016,MALE,HISPANIC,Angel
2012,MALE,WHITE NON HISP,CAMERON
2014,MALE,WHITE NON HISPANIC,Ryan
2015,FEMALE,BLACK NON HISPANIC,Taylor
2011,MALE,HISPANIC,DYLAN
2017,MALE,BLACK NON HISPANIC,Logan
2014,FEMALE,WHITE NON HISPANIC,Charlie
2014,FEMALE,BLACK NON HISPANIC,Ariel
2011,MALE,WHITE NON HISPANIC,JORDAN
2016,MALE,WHITE NON HISPANIC,Parker
2014,MALE,WHITE NON HISPANIC,Ryan
2011,MALE,HISPANIC,ANGEL
2011,MALE,WHITE NON HISPANIC,RYAN
2013,MALE,HISPANIC,Jordan
2014,MALE,HISPANIC,Ryan
2011,MALE,WHITE NON HISPANIC,ARIEL
2012,MALE,ASIAN AND PACI,JORDAN
2016,FEMALE,BLACK NON HISPANIC,Taylor
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,TENZIN
2011,MALE,HISPANIC,ANGEL
2013,FEMALE,BLACK NON HISPANIC,Riley
2014,FEMALE,WHITE NON HISPANIC,Avery
2012,FEMALE,WHITE NON HISP,QUINN
2014,FEMALE,WHITE NON HISPANIC,Taylor
2012,MALE,WHITE NON HISP,CHARLIE
2013,MALE,HISPANIC,Dylan
2013,MALE,BLACK NON HISPANIC,Peyton
2013,MALE,ASIAN AND PACIFIC ISLANDER,Dylan
2013,MALE,HISPANIC,Dylan
