PERSON_TYPE,PERSON_AGE,PERSON_INJURY,EJECTION,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PERSON_SEX
Bicyclist,21-50,Injured,,,,,,,,
Occupant,21-50,Killed,Not Ejected,Head,Unknown,Unknown,,,Internal,M
Pedestrian,51-70,Injured,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain or Nausea,M
Occupant,0-20,Injured,Not Ejected,Unknown,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Child Restraint Only,,,Unknown,M
Occupant,21-50,Injured,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Pedestrian,21-50,Injured,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, or Crosswalk",Complaint of Pain,F
Occupant,21-50,Injured,Not Ejected,Head,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Pedestrian,71-100,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, Marked Crosswalk",Internal,F
Pedestrian,71-100,Injured,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Working in Roadway,Complaint of Pain,M
Pedestrian,71-100,Injured,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Crossing With Signal,Complaint of Pain or Nausea,M
Occupant,0-20,Injured,Not Ejected,Neck,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Pedestrian,21-50,Injured,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,Abrasion,F
Occupant,21-50,Killed,Ejected,Entire Body,Driver,Helmet (Motorcycle Only),,,Internal,M
Occupant,21-50,Injured,Not Ejected,Shoulder - Upper Arm,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Occupant,51-70,Injured,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Internal,M
Occupant,0-20,Injured,,,,,,,,
Occupant,51-70,Injured,,,,,,,,
Occupant,51-70,Killed,,,,,,,,
Occupant,51-70,Injured,Not Ejected,Chest,Driver,None,,,Complaint of Pain,M
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Other Actions in Roadway,Internal,M
Occupant,0-20,Injured,Not Ejected,Back,Driver,Lap Belt & Harness,,,Unknown,M
Occupant,51-70,Killed,Not Ejected,Chest,Driver,Lap Belt & Harness,,,Internal,M
Pedestrian,71-100,Killed,,,,,,,,
Occupant,71-100,Killed,Not Ejected,Head,Driver,Lap Belt & Harness,,,Minor Bleeding,M
Occupant,21-50,Injured,Not Ejected,Back,Driver,Lap Belt & Harness,,,Complaint of Pain,F
Occupant,,Injured,Not Ejected,Unknown,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,None Visible,M
Pedestrian,0-20,Injured,,Back,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Going to/From Stopped School Bus,Complaint of Pain or Nausea,M
Occupant,21-50,Injured,Not Ejected,Unknown,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",None,,,Unknown,M
Occupant,21-50,Killed,Not Ejected,Entire Body,Driver,Air Bag Deployed,,,Internal,M
Occupant,21-50,Injured,,,,,,,,
Pedestrian,,Killed,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Pedestrian,51-70,Injured,,,,,,,,
Pedestrian,51-70,Killed,,,,,,,,
Occupant,51-70,Killed,Not Ejected,Entire Body,Driver,Air Bag Deployed/Lap Belt/Harness,,,Crush Injuries,F
Pedestrian,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Back,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt,,,Complaint of Pain or Nausea,M
Occupant,21-50,Injured,Not Ejected,Shoulder - Upper Arm,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Occupant,0-20,Killed,Not Ejected,Head,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Helmet (Motorcycle Only),,,Internal,F
Occupant,21-50,Killed,,,,,,,,
Occupant,0-20,Injured,Not Ejected,Unknown,Right rear passenger or motorcycle sidecar passenger,Child Restraint Only,,,Unknown,M
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Internal,M
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,Internal,M
Occupant,21-50,Injured,,,,,,,,
Occupant,71-100,Killed,Not Ejected,Unknown,Driver,Lap Belt & Harness,,,Unknown,M
Pedestrian,51-70,Injured,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Riding/Walking Along Highway With Traffic,Complaint of Pain,F
Occupant,51-70,Injured,,,,,,,,
Pedestrian,71-100,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Not in Roadway,Severe Bleeding,F
Occupant,51-70,Injured,,,,,,,,
Occupant,51-70,Killed,Not Ejected,Chest,Driver,None,,,Internal,M
Occupant,21-50,Killed,Not Ejected,Entire Body,Driver,Lap Belt & Harness,,,Internal,F
Occupant,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Elbow-Lower-Arm-Hand,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Pedestrian,21-50,Killed,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Pedestrian,21-50,Killed,,Unknown,,,Does Not Apply,Not in Roadway,Unknown,M
Occupant,21-50,Killed,,,,,,,,
Pedestrian,0-20,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Severe Bleeding,F
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, or Crosswalk",Severe Bleeding,F
Occupant,0-20,Killed,Ejected,Head,Driver,None,,,Fracture - Distorted - Dislocation,M
Occupant,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Shoulder - Upper Arm,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",None,,,Complaint of Pain,M
Bicyclist,21-50,Injured,,,,,,,,
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Internal,F
Occupant,51-70,Killed,,,,,,,,
Pedestrian,51-70,Killed,,,,,,,,
Occupant,51-70,Killed,Not Ejected,Entire Body,Driver,None,,,Crush Injuries,M
